Date,Close,High,Low,Open,Volume
12/15/2015,12.67634106,12.67634106,12.40426316,12.45991549,3163900
12/16/2015,12.68252277,12.81237739,12.54648444,12.66397161,3656000
12/17/2015,12.7876482,12.83093309,12.6206912,12.68252726,1528100
12/18/2015,12.73199654,12.96697215,12.64542676,12.74436398,9042400
12/21/2015,12.39189816,12.78146328,12.36097954,12.77527956,1289400
12/22/2015,12.29296112,12.52175419,12.2682274,12.49701929,1061700
12/23/2015,12.48464966,12.50319965,12.25585666,12.39807873,566800
12/24/2015,12.33006001,12.54030184,12.31150884,12.49701578,623900
12/28/2015,12.6021347,12.60831843,12.28677318,12.34242431,629900
12/29/2015,12.74436378,12.75054751,12.5835905,12.64542656,586400
12/30/2015,12.75057411,12.81892434,12.6822227,12.72571862,525500
12/31/2015,12.40882206,12.7567919,12.40882206,12.7567919,770000
1/4/2016,12.2783308,12.34668221,12.06085001,12.24104875,799600
1/5/2016,12.35911083,12.42746225,12.17269937,12.20376755,739000
1/6/2016,12.4771719,12.48338577,12.19134084,12.24105064,734100
1/7/2016,12.19133949,12.37775093,12.12920195,12.14784238,800500
1/8/2016,11.91171932,12.2770862,11.85579566,12.16648213,1092800
1/11/2016,12.00492287,12.04841878,11.88064901,11.91793105,487000
1/12/2016,12.01736069,12.27212367,11.88687167,12.11056645,923100
1/13/2016,11.85579872,12.05463792,11.75637912,12.05463792,908700
1/14/2016,11.61346149,11.94278842,11.48918642,11.89307863,814300
1/15/2016,11.35870075,11.42705099,11.17850198,11.42083711,625400
1/19/2016,10.72489738,11.28786137,10.62547781,11.25306464,1462200
1/20/2016,10.93616676,11.03558636,10.15945039,10.52606061,1208600
1/21/2016,11.07286644,11.25306517,10.7497522,11.00451503,899200
1/22/2016,10.92373848,11.29034868,10.79946339,11.24063889,645000
1/25/2016,10.81810665,11.15364873,10.76218297,10.93616788,487800
1/26/2016,10.99209023,11.07908208,10.71868574,10.84296083,625500
1/27/2016,10.92995262,11.04801384,10.79946366,10.911311,530000
1/28/2016,11.02315807,11.13500542,10.91131073,11.02937195,323000
1/29/2016,11.42933846,11.45433365,11.03565365,11.03565365,754300
2/1/2016,11.50432777,11.59181278,11.24812068,11.41059367,679700
2/2/2016,11.46058464,11.57931513,11.26061825,11.47308284,672800
2/3/2016,11.56056499,11.60743263,11.31685617,11.5543159,440500
2/4/2016,11.78552914,11.82302253,11.52307299,11.56681548,404800
2/5/2016,11.84802341,11.87301982,11.66680426,11.76053839,545400
2/8/2016,11.82927132,11.86676471,11.35435062,11.83552041,610200
2/9/2016,12.06048584,12.25420435,11.54182249,11.7167937,1092300
2/10/2016,12.12922764,12.16047195,12.0104971,12.11048033,693300
2/11/2016,11.82302189,12.12297142,11.59181005,12.06048163,541600
2/12/2016,12.06673431,12.14797141,11.7730338,11.8855152,571500
2/16/2016,12.06673431,12.17921572,11.9505044,12.09173071,498600
2/17/2016,12.3541832,12.39792569,11.9417523,12.09172706,796700
2/18/2016,12.41667175,12.44166695,12.18545994,12.42291966,897700
2/19/2016,12.2854414,12.82910083,12.24794801,12.42916703,622400
2/22/2016,12.25420094,12.4479182,12.20420934,12.37293022,462800
2/23/2016,12.24170589,12.44167231,12.18546519,12.24795499,493500
2/24/2016,12.41667175,12.47916034,12.07297858,12.16671265,544800
2/25/2016,12.49166107,12.49791017,12.31356595,12.43542038,915200
2/26/2016,11.87301254,12.46666365,11.83551915,12.36043138,910500
2/29/2016,11.94211864,12.26564225,11.87301605,11.91698999,1027300
3/1/2016,12.1242981,12.1242981,11.88558186,12.04263236,528600
3/2/2016,12.38185883,12.42583397,12.10545085,12.14942479,1131100
3/3/2016,12.46981335,12.50122298,12.30019847,12.3504546,575000
3/4/2016,12.53890991,12.54519208,12.41955241,12.45724419,802800
3/7/2016,12.50121975,12.5451937,12.41327185,12.47609229,511500
3/8/2016,12.36301041,12.526343,12.33788176,12.38813785,498700
3/9/2016,12.48865891,12.48865891,12.27507126,12.31276306,521100
3/10/2016,12.52005863,12.53262295,12.3190343,12.50121215,893500
3/11/2016,12.54519367,12.55147584,12.45724577,12.52006621,549500
3/14/2016,12.54519367,12.557758,12.45096361,12.53263054,543900
3/15/2016,12.30647659,12.53262968,12.29705395,12.53262968,371900
3/16/2016,12.38185883,12.42583397,12.26250133,12.30647527,497300
3/17/2016,12.50750256,12.54519434,12.38186167,12.41955465,997000
3/18/2016,12.28763294,12.55776004,12.16199324,12.48865743,1764000
3/21/2016,12.31275845,12.45096244,12.04263142,12.26250234,810700
3/22/2016,12.24365997,12.27192912,12.11802026,12.22481348,660500
3/23/2016,12.10545349,12.28763146,12.06147954,12.24365751,521400
3/24/2016,12.13685989,12.18083383,11.97980943,12.08032163,489200
3/28/2016,12.2248106,12.24365709,12.13058054,12.15570919,418700
3/29/2016,12.33159924,12.35672788,12.16198568,12.16198568,677800
3/30/2016,12.44526291,12.53681892,12.30319465,12.39474946,552200
3/31/2016,12.50840092,12.50840092,12.35686061,12.40737405,599700
4/1/2016,12.38843155,12.48945841,12.32528946,12.42000199,596300
4/4/2016,12.36316776,12.41368117,12.2242562,12.40736684,574000
4/5/2016,12.17374706,12.33160166,12.05377723,12.28740136,869900
4/6/2016,12.00958729,12.19901247,11.95907383,12.19901247,373200
4/7/2016,11.85804081,12.00958112,11.78227005,11.97169514,346200
4/8/2016,11.96538353,12.06009608,11.85804231,11.92118321,275900
4/11/2016,11.99063969,12.05378179,11.89592713,11.89592713,311100
4/12/2016,11.91486168,12.09797233,11.87066139,11.99694551,367900
4/13/2016,12.14218235,12.14849668,11.80121685,11.98432766,437500
4/14/2016,12.16111374,12.16742807,11.86434764,12.00957353,624600
4/15/2016,12.17374706,12.26845958,12.12954676,12.18637452,411000
4/18/2016,12.09797668,12.24951696,12.05377759,12.19268921,435400
4/19/2016,12.1863718,12.24319954,12.06008888,12.11060229,713900
4/20/2016,12.13585281,12.23687959,11.99062697,12.17373876,678600
4/21/2016,11.80121136,12.13712572,11.69387017,12.08534894,745400
4/22/2016,11.91486168,11.92748913,11.77594891,11.80752054,451300
4/25/2016,11.90854931,11.94011974,11.77595084,11.85172157,511800
4/26/2016,11.94643879,12.06009432,11.87066803,11.91486834,461700
4/27/2016,11.9527483,11.97169008,11.77595075,11.96537695,301100
4/28/2016,11.9971838,12.07335693,11.8702302,11.94005426,447600
4/29/2016,12.01622772,12.02892345,11.74327571,11.98448841,591600
5/2/2016,11.86388397,12.12414028,11.77501511,12.01622904,609500
5/3/2016,11.94005299,11.97814015,11.77501223,11.80675154,437100
5/4/2016,12.04796505,12.04796505,11.87022977,11.92101145,702700
5/5/2016,11.98448563,12.04161516,11.85753205,12.02892065,562500
5/6/2016,12.10509491,12.11144277,11.71153717,11.71153717,505300
5/9/2016,12.19396019,12.20665591,12.00352922,12.04161517,711700
5/10/2016,12.37170506,12.37805292,12.14953463,12.2066642,747200
5/11/2016,12.13048744,12.34630991,12.11779172,12.34630991,420100
5/12/2016,12.02892685,12.20983673,12.00353539,12.14953263,498200
5/13/2016,11.9971838,12.04796548,11.89562043,12.04796548,306500
5/16/2016,12.07336617,12.10510429,11.93371552,11.99084511,462600
5/17/2016,11.82580185,12.13049333,11.74010869,12.06066802,456900
5/18/2016,11.80675125,11.85753293,11.62266692,11.78770767,500200
5/19/2016,11.49571609,11.80675409,11.46397678,11.72423309,600900
5/20/2016,11.55285263,11.6480682,11.44494133,11.50207091,621300
5/23/2016,11.54649734,11.68614668,11.40049894,11.57823545,796300
5/24/2016,11.73692894,11.79405849,11.50841073,11.58458387,762400
5/25/2016,11.87023258,11.87023258,11.68614819,11.75597347,438500
5/26/2016,11.60997486,11.85118757,11.60997486,11.85118757,631700
5/27/2016,11.70518684,11.75596852,11.61631801,11.61631801,356900
5/31/2016,11.63498402,11.74348364,11.60945534,11.62221907,762200
6/1/2016,11.77540207,11.81688635,11.61584378,11.66051991,713700
6/2/2016,11.95410061,11.95410061,11.69880772,11.72433762,867700
6/3/2016,11.95410061,12.04664466,11.82645477,12.03707156,468200
6/6/2016,11.8328371,12.05621762,11.74986616,11.94771799,484500
6/7/2016,11.82645798,11.88389904,11.74348701,11.84560419,505600
6/8/2016,11.82006931,11.87751035,11.74348086,11.82645179,399100
6/9/2016,11.77540207,11.84560689,11.69881356,11.84560689,366200
6/10/2016,11.48819542,11.72434219,11.48181294,11.72434219,521900
6/13/2016,11.48181438,11.59669655,11.43713826,11.48819686,479900
6/14/2016,11.45627594,11.5073345,11.29990841,11.44989347,719200
6/15/2016,11.59669399,11.66690001,11.43713574,11.46266443,828400
6/16/2016,11.64136505,11.65413,11.41160087,11.6094539,636500
6/17/2016,11.7371006,11.88389507,11.63498345,11.67965955,1147200
6/20/2016,11.84560394,11.94133865,11.7817804,11.8073103,791500
6/21/2016,11.87112904,11.9119754,11.67327723,11.89027524,718700
6/22/2016,11.87752056,11.96687282,11.85199065,11.96049034,593400
6/23/2016,11.95410061,11.98601298,11.80092488,11.94133566,567500
6/24/2016,11.80092525,11.9987771,11.64136704,11.74986668,1158500
6/27/2016,11.42437363,11.724344,11.36055007,11.71157904,757000
6/28/2016,11.69880199,11.82644898,11.54562634,11.54562634,722800
6/29/2016,11.96192169,11.99400913,11.73731577,11.83357562,1023600
6/30/2016,12.07101345,12.07743094,11.80148518,11.93624993,705300
7/1/2016,12.13518906,12.16727526,12.03251172,12.05818167,863500
7/5/2016,12.19936466,12.26032896,12.07743485,12.07743485,1081400
7/6/2016,12.21861935,12.24428808,12.14481884,12.15444568,723400
7/7/2016,12.26353455,12.29562075,12.14160477,12.25069957,632300
7/8/2016,12.41113949,12.4496432,12.21861972,12.3148796,686300
7/11/2016,12.50739288,12.50739288,12.35979439,12.44321925,626500
7/12/2016,12.55231857,12.55552793,12.417555,12.50739738,859000
7/13/2016,12.64215851,12.64215851,12.4175514,12.53948118,1094500
7/14/2016,12.6549921,12.67424456,12.52022857,12.61648841,826700
7/15/2016,12.75767136,12.76408884,12.54589919,12.6614115,826900
7/18/2016,12.75125217,12.92451938,12.71274726,12.72558223,1428300
7/19/2016,12.86034966,12.8731834,12.69991616,12.76408858,1051300
7/20/2016,12.89243412,12.93093781,12.81542551,12.83467797,1073400
7/21/2016,13.00153351,13.00153351,12.84751747,12.88602117,1502600
7/22/2016,13.06569862,13.11061979,12.93093391,12.98869004,1001800
7/25/2016,13.04644871,13.14270854,13.00794502,13.09136988,796500
7/26/2016,12.89885044,13.04709031,12.83467681,13.04003145,853600
7/27/2016,13.04644871,13.07532678,12.83467659,12.89885022,1017700
7/28/2016,13.21330261,13.25180631,12.9758605,13.02719917,2282100
7/29/2016,13.1359148,13.28423362,13.11656839,13.1359148,915100
8/1/2016,13.20040131,13.20685011,12.99404447,13.09077408,658400
8/2/2016,13.03273964,13.18750854,12.99404803,13.08433009,854400
8/3/2016,12.89086628,13.05208272,12.83282826,13.0327363,529700
8/4/2016,12.97470379,12.97470379,12.77479445,12.89731933,732200
8/5/2016,12.9618063,13.01984433,12.87797303,13.01339553,642200
8/8/2016,12.96824932,13.09077292,12.92310892,12.94890291,806700
